X;Y;Z;depth;Bed_Alt
582625.698;130816.0182;2759.904685;22.622547;2737.282
582602.4242;130805.8546;2760.138187;21.119565;2739.019
582688.454;130846.5228;2760.532706;17.793047;2742.74
584129.8865;129639.7439;2674.785295;16.615876;2658.169
584129.8865;129639.7439;2674.785295;16.615876;2658.169
582574.7682;130797.558;2760.731938;17.000002;2743.732
582590.1643;130800.9465;2760.483974;19.728867;2740.755
582636.3157;130819.4294;2760.155951;24.114158;2736.042
584045.5829;129661.9027;2689.283191;36.097936;2653.185
582683.4539;130843.2722;2760.593598;20.33463;2740.259
582652.0735;130825.0408;2760.484433;22.954226;2737.53
582672.6696;130835.8617;2760.708788;21.938235;2738.771
582679.3443;130840.1843;2760.694785;22.172301;2738.522
582662.0198;130829.8514;2760.640342;23.854342;2736.786
582837.7227;130980.6025;2761.725725;21.218688;2740.507
584801.8525;130381.9075;2558.657515;33.333915;2525.323
584801.8525;130381.9075;2558.657515;33.333915;2525.323
584497.7101;130091.5887;2611.416038;5.979278;2605.437
584497.7101;130091.5887;2611.416038;5.979278;2605.437
584034.1514;129662.0793;2690.783272;36.494803;2654.289
582810.1331;130981.719;2751.12996;11.249932;2739.88
582796.526;130966.7779;2751.390848;13.533336;2737.857
582446.2461;130045.4465;2824.53204;10.506348;2814.026
582828.8085;130986.9608;2757.728342;18.728389;2739
584121.6417;129641.8036;2676.725033;21.146008;2655.579
584121.6417;129641.8036;2676.725033;21.146008;2655.579
582453.2217;130038.3791;2824.124825;16.710675;2807.414
582465.9437;130028.7713;2824.050015;19.574328;2804.476
584021.8068;129666.3459;2691.839824;36.889489;2654.95
584017.7911;129667.4757;2692.162734;38.977479;2653.185
584802.1807;130442.4697;2559.878663;40.821578;2519.057
584802.1807;130442.4697;2559.878663;40.821578;2519.057
582481.4654;130024.6026;2824.385969;24.868939;2799.517
582779.8982;130946.8864;2752.786512;12.171024;2740.615
582770.2034;130936.8962;2753.245312;10.055713;2743.19
584010.5542;129667.4587;2692.885205;38.376115;2654.509
582568.8279;129724.9451;2870.408567;81.437758;2788.971
582568.8279;129724.9451;2870.408567;81.437758;2788.971
582495.9261;130021.023;2824.793501;30.418781;2794.375
583599.2143;130332.2658;2739.533469;107.679648;2631.854
583599.2143;130332.2658;2739.533469;107.679648;2631.854
583999.9614;129667.8485;2693.791103;38.840768;2654.95
584490.8716;130096.4698;2614.340695;10.315893;2604.025
583560.9699;130218.5433;2739.676557;107.101005;2632.575
583560.9699;130218.5433;2739.676557;107.101005;2632.575
583558.774;130209.8802;2739.930841;105.430671;2634.5
