X	Y	Bed_Alt
582596.2921	130856.5012	2753.038
582598.2921	130856.5012	2753.108
582592.2921	130854.5012	2752.954
582594.2921	130854.5012	2753.306
582590.2921	130852.5012	2753.201
582592.2921	130852.5012	2753.383
582588.2921	130850.5012	2753.814
582590.2921	130850.5012	2753.907
582584.2921	130848.5012	2754.581
582586.2921	130848.5012	2754.657
582588.2921	130848.5012	2754.716
582582.2921	130846.5012	2755.573
582584.2921	130846.5012	2755.654
582580.2921	130844.5012	2756.376
582582.2921	130844.5012	2756.475
582578.2921	130842.5012	2757.105
582580.2921	130842.5012	2757.203
582576.2921	130840.5012	2757.597
582578.2921	130840.5012	2757.791
582574.2921	130838.5012	2757.782
582576.2921	130838.5012	2758.06
582572.2921	130836.5012	2757.982
582574.2921	130836.5012	2758.211
582570.2921	130834.5012	2758.378
582572.2921	130834.5012	2758.549
582568.2921	130832.5012	2759.145
582570.2921	130832.5012	2759.201
582566.2921	130830.5012	2760.026
582568.2921	130830.5012	2760.099
582564.2921	130828.5012	2760.668
582566.2921	130828.5012	2760.746
582562.2921	130826.5012	2761.263
582564.2921	130826.5012	2761.351
582560.2921	130824.5012	2761.905
582562.2921	130824.5012	2761.989
582558.2921	130822.5012	2762.63
582560.2921	130822.5012	2762.71
582556.2921	130820.5012	2763.245
582558.2921	130820.5012	2763.325
582554.2921	130818.5012	2763.823
582556.2921	130818.5012	2763.92
582552.2921	130816.5012	2764.457
582554.2921	130816.5012	2764.541
582550.2921	130814.5012	2765.179
582552.2921	130814.5012	2765.26
582548.2921	130812.5012	2765.755
582550.2921	130812.5012	2765.845
582546.2921	130810.5012	2766.218
582548.2921	130810.5012	2766.336
582544.2921	130808.5012	2766.552
582546.2921	130808.5012	2766.696
582760.2921	131062.5012	2723.992
582762.2921	131062.5012	2724.65
582760.2921	131060.5012	2724.249
582762.2921	131060.5012	2725.002
582764.2921	131060.5012	2725.776
582766.2921	131060.5012	2726.51
582768.2921	131060.5012	2727.237
582760.2921	131058.5012	2724.581
582762.2921	131058.5012	2725.532
582768.2921	131058.5012	2727.788
582770.2921	131058.5012	2728.52
582772.2921	131058.5012	2729.306
582774.2921	131058.5012	2730.074
582762.2921	131056.5012	2726.02
582774.2921	131056.5012	2730.619
582776.2921	131056.5012	2731.341
582778.2921	131056.5012	2732.06
582780.2921	131056.5012	2732.854
582762.2921	131054.5012	2726.416
582780.2921	131054.5012	2733.35
582782.2921	131054.5012	2734.252
582784.2921	131054.5012	2735.021
582762.2921	131052.5012	2726.733
582784.2921	131052.5012	2735.522
582786.2921	131052.5012	2736.29
582788.2921	131052.5012	2737.11
582790.2921	131052.5012	2738.029
582762.2921	131050.5012	2727.231
582790.2921	131050.5012	2738.564
582792.2921	131050.5012	2739.348
582794.2921	131050.5012	2740.116
582762.2921	131048.5012	2727.974
582764.2921	131048.5012	2728.798
582794.2921	131048.5012	2740.699
582796.2921	131048.5012	2741.52
582798.2921	131048.5012	2742.471
582764.2921	131046.5012	2729.406
582798.2921	131046.5012	2742.979
582800.2921	131046.5012	2743.773
582764.2921	131044.5012	2729.814
582800.2921	131044.5012	2744.236
582802.2921	131044.5012	2744.945
582764.2921	131042.5012	2730.141
582802.2921	131042.5012	2745.37
