,X,Y,alt
1916394,1737,385,6.53227168506146
1436045,3073,619,-12.45731041345698
1315022,2183,668,-11.36872492313205
1831689,1977,430,1.3872839134974129
2166815,2187,232,-6.61852157911153
718217,3171,909,17.307468431846246
848050,1000,857,21.656172883699583
93338,2819,1293,6.478821884364152
1080455,1766,765,11.300378359356728
719388,1846,908,18.303848596683565
406185,2597,1054,-14.851620498113334
1013700,1229,792,-14.06007701732051
736646,1565,901,-24.060616957375714
1545196,1576,569,18.50331299315303
290963,2509,1119,-31.451780954070273
1346287,2118,655,8.469126696581498
631885,1189,944,-4.963882531239506
1458908,2946,610,34.662868699412684
1772687,1776,460,11.94607925780565
999527,1945,798,22.18525478605943
317286,2548,1102,-16.39952519974895
212717,2588,1172,-14.049319722155815
170647,2853,1205,15.360947407132244
874205,1364,847,-19.681040477811166
504579,1727,1003,-1.5036054920392417
1679244,2191,506,0.6848104814412181
275652,1767,1129,-30.847680924517135
2212719,2215,115,-46.68627126674846
812219,1154,871,-3.0217518181484593
1007284,2246,795,-12.681919610952718
1402206,2052,632,11.335983756713176
657108,3303,934,27.470094256955235
1539885,2421,572,-4.7546405692419285
992708,2608,801,-10.610637943645997
744595,1957,898,3.1576274378530798
1884361,1320,402,-3.5677970227757214
1852695,1850,419,18.461709597790104
908498,2153,834,30.940613410903097
440567,2569,1036,-6.431696252367146
669285,160,928,-27.80781550796928
614548,2068,952,25.65362843844059
1770435,1515,461,-0.5050562211458782
355567,2580,1081,-22.428151719288053
1739652,805,476,-10.474517830336481
1551460,1659,566,29.603325064658748
463603,2446,1024,6.5510539879323915
768247,2845,889,-24.78779611466007
1187825,2946,721,42.00130541805174
911146,2242,833,-9.33285530207013
1151742,2941,736,35.297346437973374
67999,2900,1335,14.340225642444238
1747364,2470,473,43.66369572336316
799120,3407,877,-23.525127286282896
381169,2055,1067,25.097439477355238
206696,2514,1176,-32.81460569979026
55926,2809,1356,4.56126786695404
1829198,1418,431,-7.408139510802812
173017,2806,1203,16.978220459120166
790170,2076,880,26.84179341643221
705688,3101,914,-24.16645905441601
1999963,1529,338,1.4769384814967452
1541674,2159,571,-20.968885878121
31557,2737,1407,15.29257541750303
885436,2256,843,-15.052685746739826
2195624,2092,172,-23.253680237146455
1486441,2353,598,-6.912026359869287
756079,3337,894,7.448336140301308
1490106,1734,596,20.00324639699147
321466,1564,1099,-28.46361926905729
