,cell_x,cell_y,X,Y,alt
298,636.0,165.0,583404.5755,129483.1162,-28.483105396152496
300,749.0,85.0,583629.2251,129324.2953,-22.917983832612208
301,236.0,801.0,582604.2553,130756.2252,-48.0741180155037
302,257.0,834.0,582645.5746,130822.7733,-39.023947585582846
303,640.0,140.0,583412.3732,129434.6942,-13.82500135482951
305,275.0,844.0,582682.5213,130842.6104,-31.0257750613423
306,748.0,86.0,583627.554,129326.6974,-22.874184973021784
308,640.0,139.0,583412.6995,129431.4863,-13.533391427133665
311,1176.0,501.0,584483.4554,130155.3322,-15.501260519357857
314,208.0,819.0,582547.625,130792.1125,-33.23435798884566
315,1176.0,502.0,584483.7757,130157.3078,-16.68221922404655
316,885.0,263.0,583901.1788,129679.0528,-40.133363223995275
317,884.0,263.0,583900.3292,129679.3798,-40.37798396395556
318,747.0,88.0,583625.7303,129330.9561,-27.51392522987635
319,240.0,799.0,582612.4509,130752.4211,-45.88455571897475
320,251.0,234.0,582633.3231,129622.4074,-74.5175327927409
322,246.0,798.0,582624.5594,130749.7996,-45.853753726429204
323,351.0,896.0,582834.7888,130945.2342,-1.3979743898566994
324,1304.0,628.0,584740.3713,130409.3555,-20.866912123659404
326,1176.0,506.0,584483.9742,130166.4013,-17.509159414863007
328,338.0,872.0,582807.4325,130897.8737,-0.14550246576573045
329,744.0,94.0,583620.2046,129342.5494,-27.00405617662318
330,737.0,111.0,583605.077,129376.3729,-34.66092008373971
332,743.0,97.0,583617.7344,129347.7777,-29.545738715366497
334,735.0,114.0,583602.1299,129381.9178,-37.02275034151444
335,1421.0,668.0,584974.2371,130489.4818,-48.2269616009321
336,737.0,110.0,583606.4241,129373.0407,-36.81798210087254
337,743.0,96.0,583618.5734,129346.1626,-32.121069884266035
338,521.0,612.0,583174.9201,130377.6726,-27.146711824952035
340,1176.0,508.0,584483.4384,130170.6631,-17.566092733509777
341,335.0,869.0,582802.6615,130891.74900000001,1.2479971336738345
342,1301.0,632.0,584734.3806,130417.9332,-19.148298233054447
344,1176.0,511.0,584483.1828,130176.7524,-17.16082174052599
346,190.0,398.0,582511.2183,129950.132,-36.7375436283387
347,251.0,797.0,582633.8878,130747.0116,-45.52469112988365
348,214.0,814.0,582559.2253,130781.9077,-36.96690306538267
349,731.0,122.0,583594.8883,129398.6144,-40.34210717516089
350,210.0,451.0,582551.2859,130056.3175,-62.758096785707494
352,256.0,240.0,582644.5039,129633.4845,-80.7238741072556
354,731.0,123.0,583594.2698,129400.4058,-41.20649323538055
355,732.0,121.0,583596.0438,129395.5666,-39.999435136697684
357,728.0,130.0,583587.7966,129414.5173,-41.060098343712525
359,732.0,122.0,583595.2223,129397.6548,-41.191990387898386
360,216.0,452.0,582563.0844,130057.0285,-60.60583337235221
362,1176.0,514.0,584483.2179,130181.6999,-19.00374558239946
365,221.0,452.0,582573.6452,130057.7599,-60.45330116362629
367,350.0,889.0,582831.0437,130932.5662,2.8943380857449483
368,726.0,133.0,583584.8122,129420.8935,-43.86955916924762
369,1175.0,516.0,584482.1383,130185.6071,-17.977115158435026
371,727.0,133.0,583585.1227,129420.134,-45.79334375894223
372,516.0,609.0,583163.2588,130372.1571,-31.786011583457366
374,255.0,795.0,582641.4011,130744.7277,-47.051453231618325
375,189.0,393.0,582509.5042,129939.4639,-34.537263863657245
376,726.0,136.0,583583.0758,129425.1417,-44.05230076652606
377,1174.0,520.0,584480.4473,130193.8748,-16.743270396016214
379,226.0,452.0,582584.9326,130057.8842,-61.2776471204088
382,191.0,449.0,582514.079,130051.5952,-63.679699770138996
383,1297.0,639.0,584726.7798,130431.3409,-22.7995070589609
385,192.0,449.0,582515.9384,130051.9706,-65.15328572508315
386,331.0,860.0,582793.0405,130874.5264,0.6895465068887461
387,197.0,450.0,582525.2126,130053.7802,-65.25569927384913
388,954.0,254.0,584039.2764,129662.0024,-33.46277640078597
390,252.0,235.0,582635.0552,129624.3117,-83.87086121035009
392,722.0,144.0,583576.3656,129442.3571,-46.10098019686984
394,220.0,810.0,582571.0317,130774.3579,-41.80643645649525
395,203.0,451.0,582537.5498,130055.8818,-67.3453906113441
396,1417.0,669.0,584966.2177,130491.4343,-45.68693709451827
397,202.0,451.0,582535.4667,130055.5936,-68.07469880720191
398,184.0,446.0,582499.2605,130046.9875,-61.76236362921327
399,1294.0,643.0,584719.7899,130439.1118,-21.668991045044095
401,182.0,446.0,582496.0758,130045.5138,-61.01058724099494
402,207.0,451.0,582546.9401,130056.3128,-65.28610909411509
404,169.0,443.0,582469.1267,130040.0148,-49.34675016464689
405,171.0,443.0,582474.9654,130039.0791,-53.34317489161367
406,711.0,179.0,583553.3838,129512.48599999999,-26.71275219110612
